Gender,Age,Ethnicity,Educational_Level,Income,Country_region,Hotel_Type,Adults,Children,Babies,Meal_Type,Visted_Previously,Previous_Cancellations,Deposit_type,Booking_channel,Required_Car_Parking,Reservation_Status,Use_Promotion,Discount_Rate,Room_Rate,Lead_Time_Days,Stay_Length_Days,Total_Guests,Total_Bill_amount,Booking_month,Booking_dayofweek,Checkin_month,Checkin_dayofweek
F,40,Latino,Grad,<25K,North,City Hotel,2,2,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,218,41,1,4,196.20000000000002,5,3,7,2
F,62,Latino,High-School,25K --50K,East,Resort,1,1,0,BB,No,No,No Deposit,Direct,No,Check-In,Yes,10,242,13,1,2,217.8,6,5,7,4
M,40,Latino,Mid-School,>100K,North,City Hotel,2,1,0,FB,No,No,No Deposit,Online,Yes,Check-In,No,0,170,8,1,3,170.0,6,3,7,4
M,69,African American,High-School,<25K,South,City Hotel,1,3,0,BB,No,No,Non-Refundable,Online,No,Check-In,No,0,106,20,3,4,318.0,6,2,6,1
M,55,caucasian,College,25K --50K,North,City Hotel,1,2,0,BB,Yes,No,No Deposit,Online,No,Check-In,No,0,145,67,1,3,145.0,4,2,7,6
F,42,Asian American,Grad,<25K,East,Airport Hotels,1,2,0,HB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,25,180,14,4,3,540.0,6,6,7,6
F,69,African American,College,25K --50K,West,Airport Hotels,1,2,2,BB,No,No,Refundable,Online,Yes,Check-In,Yes,15,246,35,2,3,418.2,5,6,7,6
F,22,Asian American,Grad,25K --50K,South,Resort,1,2,0,BB,No,No,No Deposit,Agent,Yes,Check-In,No,0,220,34,3,3,660.0,6,0,7,6
M,32,Asian American,Mid-School,<25K,South,Airport Hotels,1,1,2,BB,Yes,No,No Deposit,Direct,No,Check-In,No,0,182,11,1,2,182.0,6,6,7,3
M,62,Asian American,Mid-School,50K -- 100K,West,Airport Hotels,1,1,0,BB,No,No,Refundable,Online,Yes,Check-In,No,0,234,6,1,2,234.0,6,0,7,6
M,22,African American,Grad,<25K,East,Resort,1,3,2,BB,No,No,Refundable,Direct,Yes,Check-In,Yes,10,118,36,1,4,106.2,5,6,7,0
F,62,caucasian,High-School,>100K,South,Resort,1,2,0,BB,No,No,No Deposit,Agent,No,Check-In,Yes,5,220,68,4,3,836.0,4,3,7,1
M,45,Asian American,High-School,25K --50K,East,Airport Hotels,3,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,20,222,71,1,4,177.60000000000002,4,0,7,1
F,33,caucasian,Mid-School,50K -- 100K,South,City Hotel,2,1,0,HB,No,No,No Deposit,Direct,Yes,Check-In,Yes,10,101,125,2,3,181.8,2,3,7,2
M,32,Latino,College,<25K,South,City Hotel,3,1,1,BB,Yes,No,No Deposit,Online,Yes,Check-In,No,0,105,77,1,4,105.0,4,2,7,2
F,43,African American,College,<25K,South,City Hotel,2,2,0,BB,Yes,No,No Deposit,Online,Yes,Check-In,No,0,146,47,1,4,146.0,5,4,7,2
F,18,Asian American,High-School,<25K,East,City Hotel,1,2,0,BB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,10,129,76,1,3,116.10000000000001,4,3,7,2
M,66,Latino,College,50K -- 100K,South,Resort,2,1,0,BB,No,No,Refundable,Online,Yes,Check-In,No,0,218,97,2,3,436.0,4,3,7,2
